;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;04.05.2022 11:15:30;;0001;Fehler;;1;14,846;45,956;;4,704;0,209
;04.05.2022 11:15:59;;0002;Fehler;;1;27,382;45,949;;4,697;0,266
;04.05.2022 11:16:36;;0003;Fehler;;1;27,399;45,956;;4,697;0,199
;04.05.2022 11:17:15;;0004;Fehler;;1;27,386;45,931;;4,698;0,299
;04.05.2022 11:17:46;;0005;Fehler;;1;27,496;45,938;;4,701;0,296
;04.05.2022 11:18:30;;0006;Fehler;;1;27,403;45,923;;4,699;0,302
;04.05.2022 11:18:58;;0007;Fehler;;1;27,468;45,947;;4,699;0,252
;04.05.2022 11:19:34;;0008;Fehler;;1;27,453;45,953;;4,700;0,227
;04.05.2022 11:20:09;;0009;Fehler;;1;27,434;45,946;;4,699;0,379
;04.05.2022 11:20:45;;0010;Fehler;;1;27,438;45,939;;4,698;0,409
;04.05.2022 11:21:41;;0011;Fehler;;1;27,531;45,909;;4,649;0,288
;04.05.2022 11:22:15;;0012;Fehler;;1;27,535;45,908;;4,646;0,494
;04.05.2022 11:22:55;;0013;Fehler;;1;27,514;45,916;;4,653;0,252
;04.05.2022 11:23:30;;0014;Fehler;;1;27,544;45,903;;4,650;0,254
;04.05.2022 11:24:10;;0015;Fehler;;1;27,504;45,916;;4,657;0,238
;04.05.2022 11:24:49;;0016;Fehler;;1;27,493;45,914;;4,653;0,285
;04.05.2022 11:25:14;;0017;Fehler;;1;27,490;45,932;;4,658;0,286
;04.05.2022 11:26:05;;0018;Fehler;;1;27,448;45,888;;4,653;0,335
;04.05.2022 11:26:29;;0019;Fehler;;1;27,470;45,920;;4,655;0,276
;04.05.2022 11:26:59;;0020;Fehler;;1;27,447;45,950;;4,657;0,275
;04.05.2022 11:28:06;;0021;Fehler;;1;28,467;45,964;;4,690;0,286
;04.05.2022 11:28:41;;0022;Fehler;;1;27,442;45,970;;4,691;0,244
;04.05.2022 11:29:11;;0023;Fehler;;1;27,401;45,992;;4,692;0,330
