;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;04.05.2022 15:24:09;;0001;Fehler;;1;29,817;45,915;;4,686;0,280
;04.05.2022 15:25:03;;0002;Fehler;;1;27,008;45,906;;4,682;0,273
;04.05.2022 15:25:39;;0003;Fehler;;1;27,292;45,886;;4,683;0,326
;04.05.2022 15:26:12;;0004;Fehler;;1;27,340;45,915;;4,685;0,229
;04.05.2022 15:26:40;;0005;Fehler;;1;27,370;45,935;;4,690;0,311
;04.05.2022 15:27:10;;0006;Fehler;;1;27,399;45,908;;4,687;0,291
;04.05.2022 15:27:40;;0007;Fehler;;1;27,409;45,934;;4,689;0,280
;04.05.2022 15:28:11;;0008;Fehler;;1;27,412;45,945;;4,687;0,306
;04.05.2022 15:28:48;;0009;Fehler;;1;27,408;45,944;;4,692;0,282
;04.05.2022 15:29:24;;0010;Fehler;;1;27,406;45,942;;4,690;0,263
;04.05.2022 15:29:58;;0011;Fehler;;1;27,388;45,949;;4,692;0,287
;04.05.2022 15:30:33;;0012;Fehler;;1;27,443;45,934;;4,688;0,287
;04.05.2022 15:31:08;;0013;Fehler;;1;27,406;45,939;;4,692;0,290
;04.05.2022 15:31:45;;0014;Fehler;;1;27,384;45,929;;4,694;0,264
;04.05.2022 15:32:20;;0015;Fehler;;1;27,417;45,930;;4,693;0,302
;04.05.2022 15:32:54;;0016;Fehler;;1;27,369;45,953;;4,693;0,250
;04.05.2022 15:33:29;;0017;Fehler;;1;27,337;45,932;;4,695;0,343
;04.05.2022 15:34:05;;0018;Fehler;;1;27,417;45,947;;4,692;0,219
;04.05.2022 15:34:41;;0019;Fehler;;1;27,413;45,939;;4,692;0,257
;04.05.2022 15:35:14;;0020;Fehler;;1;27,439;45,953;;4,695;0,271
;04.05.2022 15:35:49;;0021;Fehler;;1;27,428;45,942;;4,689;0,275
;04.05.2022 15:36:25;;0022;Fehler;;1;27,390;45,929;;4,695;0,285
;04.05.2022 15:37:00;;0023;Fehler;;1;27,413;45,939;;4,691;0,301
;04.05.2022 15:37:35;;0024;Fehler;;1;27,433;45,951;;4,698;0,284
;04.05.2022 15:38:10;;0025;Fehler;;1;27,437;45,936;;4,694;0,266
