Zyklusnummer;Charge;Werkzeugtemperatur;Kühlzeit;Gewicht;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen;Düsentemperatur
251;;;20.0;8.129;29.817;45.915;;4.686;0.28;250.0
252;;;20.0;8.133;27.008;45.906;;4.682;0.273;250.0
253;;;20.0;8.132;27.292;45.886;;4.683;0.326;250.0
254;;;20.0;8.131;27.34;45.915;;4.685;0.229;250.0
255;;;20.0;8.133;27.37;45.935;;4.69;0.311;250.0
256;;;20.0;8.132;27.399;45.908;;4.687;0.291;250.0
257;;;20.0;8.127;27.409;45.934;;4.689;0.28;250.0
258;;;20.0;8.136;27.412;45.945;;4.687;0.306;250.0
259;;;20.0;8.135;27.408;45.944;;4.692;0.282;250.0
260;;;20.0;8.134;27.406;45.942;;4.69;0.263;250.0
261;;;20.0;8.138;27.388;45.949;;4.692;0.287;250.0
262;;;20.0;8.132;27.443;45.934;;4.688;0.287;250.0
263;;;20.0;8.14;27.406;45.939;;4.692;0.29;250.0
264;;;20.0;8.138;27.384;45.929;;4.694;0.264;250.0
265;;;20.0;8.134;27.417;45.93;;4.693;0.302;250.0
266;;;20.0;8.134;27.369;45.953;;4.693;0.25;250.0
267;;;20.0;8.138;27.337;45.932;;4.695;0.343;250.0
268;;;20.0;8.138;27.417;45.947;;4.692;0.219;250.0
269;;;20.0;8.136;27.413;45.939;;4.692;0.257;250.0
270;;;20.0;8.138;27.439;45.953;;4.695;0.271;250.0
271;;;20.0;8.132;27.428;45.942;;4.689;0.275;250.0
272;;;20.0;8.137;27.39;45.929;;4.695;0.285;250.0
273;;;20.0;8.136;27.413;45.939;;4.691;0.301;250.0
274;;;20.0;8.142;27.433;45.951;;4.698;0.284;250.0
275;;;20.0;8.138;27.437;45.936;;4.694;0.266;250.0
276;;;20.0;8.135;27.436;45.945;;4.689;0.25;250.0
277;;;20.0;8.145;27.467;45.941;;4.692;0.301;250.0
278;;;20.0;8.135;27.439;45.932;;4.695;0.272;250.0
279;;;20.0;8.143;27.432;45.939;;4.696;0.239;250.0
280;;;20.0;8.14;27.445;45.941;;4.693;0.245;250.0
281;;;20.0;8.142;27.408;45.936;;4.695;0.308;250.0
282;;;20.0;8.134;27.451;45.945;;4.694;0.277;250.0
283;;;20.0;8.14;27.361;45.956;;4.695;0.272;250.0
284;;;20.0;8.143;27.441;45.939;;4.694;0.278;250.0
285;;;20.0;8.136;27.441;45.939;;4.703;0.323;250.0
286;;;20.0;8.144;27.437;45.961;;4.695;0.231;250.0
287;;;20.0;8.134;27.46;45.947;;4.694;0.23;250.0
288;;;20.0;8.139;27.39;45.937;;4.694;0.211;250.0
289;;;20.0;8.133;27.457;45.936;;4.688;0.289;250.0
290;;;20.0;8.139;27.392;45.925;;4.696;0.55;250.0
291;;;20.0;8.132;27.413;45.94;;4.688;0.279;250.0
292;;;20.0;8.137;27.35;45.93;;4.698;0.265;250.0
293;;;20.0;8.136;27.461;45.94;;4.696;0.266;250.0
294;;;20.0;8.126;27.474;45.927;;4.689;0.287;250.0
295;;;20.0;8.136;27.404;45.947;;4.696;0.25;250.0
296;;;20.0;8.133;27.421;45.931;;4.69;0.284;250.0
297;;;20.0;8.131;27.41;45.93;;4.687;0.244;250.0
298;;;20.0;8.13;27.466;45.932;;4.691;0.257;250.0
299;;;20.0;8.13;27.448;45.94;;4.697;0.268;250.0
300;;;20.0;8.132;27.438;45.937;;4.693;0.229;250.0
301;;;20.0;8.125;27.436;45.931;;4.689;0.255;250.0
302;;;20.0;8.133;27.413;45.937;;4.69;0.237;250.0
303;;;20.0;8.133;27.429;45.934;;4.692;0.258;250.0
304;;;20.0;8.13;27.467;45.933;;4.688;0.272;250.0
305;;;20.0;8.133;27.361;45.906;;4.688;0.279;250.0
306;;;20.0;8.138;27.431;45.939;;4.694;0.275;250.0
307;;;20.0;8.133;27.45;45.943;;4.691;0.221;250.0
308;;;20.0;8.137;27.388;45.933;;4.694;0.29;250.0
309;;;20.0;8.13;27.395;45.953;;4.692;0.242;250.0
310;;;20.0;8.139;27.484;45.951;;4.694;0.278;250.0
311;;;20.0;8.134;27.393;45.936;;4.694;0.283;250.0
312;;;20.0;8.142;27.511;45.922;;4.693;0.262;250.0
313;;;20.0;8.136;27.393;45.935;;4.692;0.278;250.0
314;;;20.0;8.14;27.291;45.941;;4.698;0.284;250.0
315;;;20.0;8.134;27.375;45.888;;4.687;0.308;250.0
316;;;20.0;8.142;27.428;45.916;;4.696;0.276;250.0
317;;;20.0;8.134;27.449;45.908;;4.695;0.309;250.0
318;;;20.0;8.139;27.406;45.923;;4.695;0.272;250.0
319;;;20.0;8.135;27.452;45.92;;4.693;0.276;250.0
320;;;20.0;8.141;27.504;45.924;;4.693;0.265;250.0
321;;;20.0;8.137;27.424;45.936;;4.695;0.3;250.0
322;;;20.0;8.142;27.445;45.95;;4.694;0.228;250.0
323;;;20.0;8.135;27.487;45.937;;4.691;0.266;250.0
324;;;20.0;8.142;27.441;45.938;;4.696;0.274;250.0
325;;;20.0;8.14;27.444;45.931;;4.699;0.294;250.0
326;;;20.0;8.137;27.428;45.946;;4.694;0.238;250.0
327;;;20.0;8.14;27.41;45.939;;4.692;0.273;250.0
328;;;20.0;8.131;27.392;45.95;;4.69;0.249;250.0
329;;;20.0;8.136;27.456;45.907;;4.698;0.248;250.0
330;;;20.0;8.135;27.435;45.923;;4.696;0.251;250.0
331;;;20.0;8.138;27.424;45.94;;4.696;0.27;250.0
332;;;20.0;8.136;27.423;45.942;;4.696;0.252;250.0
333;;;20.0;8.133;27.426;45.939;;4.694;0.3;250.0
