Zähler;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen
1;26.732;45.781;;4.697;0.487
2;27.382;45.949;;4.697;0.266
3;27.399;45.956;;4.697;0.199
4;27.386;45.931;;4.698;0.299
5;27.496;45.938;;4.701;0.296
6;27.403;45.923;;4.699;0.302
7;27.468;45.947;;4.699;0.252
8;27.453;45.953;;4.7;0.227
9;27.434;45.946;;4.699;0.379
10;27.438;45.939;;4.698;0.409
11;27.531;45.909;;4.649;0.288
12;27.535;45.908;;4.646;0.494
13;27.514;45.916;;4.653;0.252
14;27.544;45.903;;4.65;0.254
15;27.504;45.916;;4.657;0.238
16;27.493;45.914;;4.653;0.285
17;27.49;45.932;;4.658;0.286
18;27.448;45.888;;4.653;0.335
19;27.47;45.92;;4.655;0.276
20;27.447;45.95;;4.657;0.275
21;28.467;45.964;;4.69;0.286
22;27.442;45.97;;4.691;0.244
23;27.401;45.992;;4.692;0.33
24;27.415;45.958;;4.691;0.311
25;27.437;45.966;;4.694;0.317
26;27.431;45.965;;4.688;0.252
27;27.431;45.95;;4.69;0.291
28;27.436;45.952;;4.691;0.291
29;27.452;45.957;;4.69;0.272
30;27.406;45.96;;4.693;0.288
31;27.628;45.757;;4.652;0.481
32;27.33;45.92;;4.666;0.255
33;27.432;45.929;;4.656;0.262
34;27.539;45.941;;4.667;0.272
35;27.521;45.945;;4.657;0.309
36;27.526;45.919;;4.673;0.26
37;27.537;45.928;;4.668;0.263
38;27.537;45.933;;4.67;0.267
39;27.529;45.939;;4.674;0.255
40;27.463;45.904;;4.67;0.259
41;27.993;45.93;;4.696;0.298
42;27.534;45.946;;4.692;0.269
43;27.442;45.949;;4.694;0.302
44;27.419;45.91;;4.691;0.299
45;27.431;45.943;;4.693;0.277
46;27.466;45.937;;4.69;0.282
47;27.447;45.948;;4.693;0.306
48;27.442;45.927;;4.696;0.288
49;27.448;45.945;;4.697;0.285
50;27.423;45.919;;4.695;0.252
51;27.438;45.911;;4.538;0.27
52;27.677;45.885;;4.612;0.257
53;27.449;45.921;;4.654;0.261
54;27.479;45.941;;4.63;0.271
55;27.446;45.928;;4.648;0.31
56;27.423;45.918;;4.633;0.215
57;27.43;45.929;;4.661;0.258
58;27.463;45.923;;4.67;0.277
59;27.472;45.906;;4.669;0.264
60;27.421;45.86;;4.654;0.255
61;27.31;45.921;;4.679;0.281
62;27.405;45.945;;4.683;0.267
63;27.45;45.937;;4.684;0.273
64;27.318;45.943;;4.682;0.276
65;27.409;45.93;;4.69;0.315
66;27.448;45.967;;4.689;0.294
67;27.451;45.956;;4.689;0.277
68;27.418;45.927;;4.688;0.222
69;27.444;45.947;;4.694;0.344
70;27.425;45.917;;4.693;0.236
71;27.622;45.879;;4.621;0.309
72;28.46;45.882;;4.669;0.328
73;27.817;45.909;;4.652;0.26
74;26.908;45.944;;4.649;0.306
75;27.874;45.943;;4.677;0.28
76;27.353;45.944;;4.674;0.264
77;27.663;45.931;;4.655;0.29
78;27.472;45.935;;4.674;0.292
79;27.499;45.924;;4.68;0.248
80;27.122;45.94;;4.68;0.258
81;27.528;45.954;;4.69;0.319
82;28.019;45.945;;4.664;0.205
83;27.846;45.948;;4.681;0.298
84;27.489;45.968;;4.69;0.271
85;27.452;45.954;;4.693;0.242
86;27.551;45.958;;4.692;0.276
87;27.488;45.937;;4.691;0.245
88;27.413;45.945;;4.67;0.231
89;27.465;45.936;;4.692;0.284
90;27.599;45.933;;4.692;0.226
91;27.442;45.955;;4.696;0.31
92;27.518;45.977;;4.696;0.327
93;27.512;45.887;;4.701;0.424
94;27.511;45.886;;4.699;0.423
95;27.514;45.833;;4.688;0.252
96;27.515;45.958;;4.7;0.312
97;27.046;45.948;;4.697;0.29
98;27.479;45.966;;4.697;0.222
99;27.327;45.773;;4.69;0.317
100;27.283;45.964;;4.681;0.293
101;27.229;45.93;;4.686;0.245
102;27.379;45.938;;4.686;0.336
103;27.942;45.923;;4.69;0.271
104;27.567;45.939;;4.688;0.284
105;27.487;45.935;;4.689;0.262
106;27.489;45.935;;4.685;0.331
107;27.486;45.919;;4.661;0.282
108;27.491;45.921;;4.687;0.261
109;27.488;45.913;;4.686;0.238
110;27.488;45.933;;4.684;0.267
111;27.29;45.986;;4.699;0.229
112;27.487;45.965;;4.71;0.326
113;27.48;45.949;;4.706;0.31
114;27.47;45.955;;4.703;0.298
115;27.444;45.945;;4.704;0.271
116;27.494;45.952;;4.706;0.24
117;27.451;45.921;;4.706;0.326
118;27.45;45.938;;4.704;0.26
119;27.443;45.79;;4.7;0.295
120;27.056;45.926;;4.69;0.444
121;27.94;45.738;;4.68;0.382
122;27.147;45.81;;4.687;0.348
123;27.485;45.974;;4.692;0.32
124;27.47;45.951;;4.691;0.32
125;27.444;45.918;;4.689;0.316
126;27.449;45.953;;4.7;0.316
127;27.47;45.956;;4.732;0.311
128;27.306;45.945;;4.694;0.307
129;27.543;45.928;;4.694;0.32
130;27.422;45.934;;4.694;0.275
131;;45.892;;4.678;0.498
132;;45.867;;4.685;0.54
133;26.936;45.696;;4.677;0.679
134;27.846;45.998;;4.688;0.247
135;27.616;45.969;;4.682;0.273
136;27.438;45.888;;4.684;0.515
137;27.482;45.934;;4.682;0.528
138;27.454;45.927;;4.687;0.352
139;27.457;45.906;;4.683;0.329
140;27.428;45.922;;4.686;0.266
141;13.27;45.912;;4.696;0.35
142;27.66;45.938;;4.693;0.542
143;27.623;45.963;;4.694;0.276
144;27.529;45.928;;4.689;0.52
145;27.466;45.951;;4.695;0.272
146;27.469;45.961;;4.694;0.302
147;27.495;45.935;;4.702;0.334
148;27.435;45.918;;4.701;0.35
149;27.429;45.992;;4.697;0.253
150;27.423;45.946;;4.697;0.314
151;27.073;45.766;;4.693;0.529
152;27.209;45.926;;4.702;0.371
153;27.44;45.875;;4.701;0.589
154;27.706;45.913;;4.698;0.364
155;27.402;45.935;;4.702;0.267
156;27.399;45.939;;4.704;0.284
157;27.403;45.941;;4.705;0.29
158;27.429;45.94;;4.703;0.282
159;27.443;45.885;;4.704;0.357
160;27.423;45.945;;4.702;0.251
161;26.722;45.763;;4.686;0.26
162;27.185;45.906;;4.696;0.267
163;27.428;45.912;;4.693;0.281
164;27.385;45.931;;4.695;0.301
165;27.451;45.935;;4.695;0.323
166;27.386;45.871;;4.691;0.326
167;27.385;45.906;;4.694;0.326
168;27.4;45.895;;4.692;0.284
169;27.412;45.932;;4.694;0.291
170;27.419;45.866;;4.69;0.357
171;27.429;45.893;;4.692;0.326
172;27.153;45.925;;4.685;0.321
173;27.426;45.894;;4.688;0.275
174;27.438;45.936;;4.694;0.296
175;27.454;45.918;;4.678;0.333
176;27.412;45.94;;4.693;0.286
177;27.399;45.884;;4.691;0.376
178;27.415;45.91;;4.688;0.291
179;27.396;45.877;;4.691;0.295
180;27.408;45.924;;4.689;0.296
181;10.314;45.868;;4.698;0.545
182;27.771;45.914;;4.69;0.533
183;27.404;45.938;;4.695;0.272
184;27.44;45.913;;4.694;0.279
185;27.457;45.93;;4.697;0.542
186;27.429;45.968;;4.697;0.322
187;27.416;45.919;;4.696;0.525
188;27.391;45.922;;4.7;0.298
