Charge;Düse;WKZ;Einspritzgeschw.;Umschaltpunkt;;;
1;245;30;14;13;;;
2;245;30;14;14;;;
3;245;30;20;13;;;
4;245;30;20;14;;;
5;245;40;14;13;;;
6;245;40;14;14;;;
7;245;40;20;13;;;
8;245;40;20;14;;;
9;255;40;20;14;;;
10;255;40;20;13;;;
11;255;40;14;14;;;
12;255;40;14;13;;;
13;255;30;20;14;;;
14;255;30;14;14;;;
15;255;30;20;13;;;
16;255;30;14;13;;;
17;250;35;16;13,5;;;
18;245;35;16;13,5;;;
19;255;35;16;13,5;;;
20;250;30;16;13,5;;;
21;250;40;16;13,5;;;
22;250;35;14;13,5;;;
23;250;35;20;13,5;;;
24;250;35;16;13;;;
25;250;35;16;14;;;
