;Messzeit;Losnummer;laufenden Zähler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen
;05.05.2022 10:07:11;;1;Fehler;;1;27.37;45.919;;4.685;0.326
;05.05.2022 10:08:26;;2;Fehler;;1;27.152;45.864;;4.682;0.321
;05.05.2022 10:08:45;;3;Fehler;;1;27.436;45.865;;4.681;0.333
;05.05.2022 10:09:10;;4;Fehler;;1;27.431;45.893;;4.685;0.28
;05.05.2022 10:09:36;;5;Fehler;;1;27.426;45.909;;4.687;0.288
;05.05.2022 10:10:05;;6;Fehler;;1;27.436;45.908;;4.685;0.276
;05.05.2022 10:10:37;;7;Fehler;;1;27.434;45.906;;4.688;0.357
;05.05.2022 10:11:13;;8;Fehler;;1;27.465;45.919;;4.681;0.256
;05.05.2022 10:11:48;;9;Fehler;;1;27.47;45.921;;4.69;0.279
;05.05.2022 10:12:24;;10;Fehler;;1;27.425;45.912;;4.685;0.272
;05.05.2022 10:12:57;;11;Fehler;;1;27.452;45.906;;4.687;0.349
;05.05.2022 10:13:56;;12;Fehler;;1;27.432;45.891;;4.683;0.244
;05.05.2022 10:14:20;;13;Fehler;;1;27.447;45.885;;4.684;0.29
;05.05.2022 10:14:48;;14;Fehler;;1;27.426;45.899;;4.684;0.278
;05.05.2022 10:15:21;;15;Fehler;;1;27.447;45.904;;4.684;0.292
;05.05.2022 10:15:57;;16;Fehler;;1;27.462;45.914;;4.683;0.282
;05.05.2022 10:16:31;;17;Fehler;;1;27.43;45.907;;4.685;0.271
;05.05.2022 10:17:06;;18;Fehler;;1;27.471;45.905;;4.682;0.302
;05.05.2022 10:17:41;;19;Fehler;;1;27.442;45.915;;4.686;0.262
;05.05.2022 10:18:24;;20;Fehler;;1;27.444;45.894;;4.684;0.262
;05.05.2022 10:18:51;;21;Fehler;;1;27.442;45.919;;4.687;0.324
;05.05.2022 10:19:25;;22;Fehler;;1;27.421;45.893;;4.687;0.32
;05.05.2022 10:20:02;;23;Fehler;;1;27.428;45.912;;4.687;0.27
;05.05.2022 10:20:45;;24;Fehler;;1;27.427;45.908;;4.687;0.275
;05.05.2022 10:21:15;;25;Fehler;;1;27.415;45.938;;4.686;0.286
;05.05.2022 10:21:52;;26;Fehler;;1;27.447;45.904;;4.688;0.544
;05.05.2022 10:22:27;;27;Fehler;;1;27.42;45.921;;4.688;0.276
;05.05.2022 10:23:14;;28;Fehler;;1;27.445;45.894;;4.684;0.281
;05.05.2022 10:23:43;;29;Fehler;;1;27.427;45.921;;4.684;0.26
;05.05.2022 10:24:12;;30;Fehler;;1;27.419;45.922;;4.686;0.275
;05.05.2022 10:24:47;;31;Fehler;;1;27.429;45.907;;4.686;0.273
;05.05.2022 10:25:24;;32;Fehler;;1;27.421;45.917;;4.686;0.295
;05.05.2022 10:25:59;;33;Fehler;;1;27.423;45.928;;4.684;0.28
;05.05.2022 10:26:35;;34;Fehler;;1;27.404;45.916;;4.689;0.275
;05.05.2022 10:27:07;;35;Fehler;;1;27.425;45.918;;4.687;0.267
;05.05.2022 10:27:44;;36;Fehler;;1;27.474;45.919;;4.682;0.275
