;Messzeit;Losnummer;laufenden Zähler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen
;06.05.2022 10:22:12;;1;Fehler;;1;25.226;45.921;;4.685;0.241
;06.05.2022 10:22:45;;2;Fehler;;1;27.344;45.909;;4.69;0.289
;06.05.2022 10:23:15;;3;Fehler;;1;27.573;45.929;;4.689;0.33
;06.05.2022 10:23:49;;4;Fehler;;1;27.523;45.933;;4.685;0.28
;06.05.2022 10:24:30;;5;Fehler;;1;27.457;45.914;;4.682;0.306
;06.05.2022 10:25:06;;6;Fehler;;1;27.447;45.907;;4.683;0.294
;06.05.2022 10:25:41;;7;Fehler;;1;27.456;45.939;;4.687;0.292
;06.05.2022 10:26:22;;8;Fehler;;1;27.469;45.916;;4.681;0.322
;06.05.2022 10:26:58;;9;Fehler;;1;27.456;45.935;;4.685;0.271
;06.05.2022 10:27:39;;10;Fehler;;1;27.47;45.896;;4.684;0.311
;06.05.2022 10:28:15;;11;Fehler;;1;27.449;45.927;;4.68;0.267
;06.05.2022 10:28:50;;12;Fehler;;1;27.45;45.926;;4.686;0.29
;06.05.2022 10:29:25;;13;Fehler;;1;27.456;45.927;;4.684;0.277
;06.05.2022 10:30:00;;14;Fehler;;1;27.459;45.916;;4.682;0.272
;06.05.2022 10:30:36;;15;Fehler;;1;27.474;45.911;;4.685;0.285
;06.05.2022 10:31:16;;16;Fehler;;1;27.442;45.915;;4.682;0.246
;06.05.2022 10:31:51;;17;Fehler;;1;27.448;45.895;;4.681;0.287
;06.05.2022 10:32:28;;18;Fehler;;1;27.462;45.902;;4.658;0.286
;06.05.2022 10:33:04;;19;Fehler;;1;27.464;45.905;;4.685;0.297
;06.05.2022 10:33:41;;20;Fehler;;1;27.457;45.894;;4.68;0.272
;06.05.2022 10:34:20;;21;Fehler;;1;27.395;45.904;;4.696;0.292
;06.05.2022 10:34:59;;22;Fehler;;1;27.466;45.891;;4.663;0.301
;06.05.2022 10:35:43;;23;Fehler;;1;27.413;45.9;;4.695;0.264
;06.05.2022 10:36:06;;24;Fehler;;1;27.462;45.854;;4.682;0.32
;06.05.2022 10:36:43;;25;Fehler;;1;27.368;45.907;;4.695;0.275
;06.05.2022 10:37:19;;26;Fehler;;1;27.457;45.912;;4.681;0.272
;06.05.2022 10:38:33;;27;Fehler;;1;27.343;45.845;;4.688;0.265
;06.05.2022 10:38:49;;28;Fehler;;1;27.432;45.811;;;0.339
;06.05.2022 10:39:14;;29;Fehler;;1;27.451;45.912;;4.685;0.277
;06.05.2022 10:39:45;;30;Fehler;;1;27.431;45.915;;4.695;0.286
;06.05.2022 10:40:19;;31;Fehler;;1;27.478;45.918;;4.678;0.268
;06.05.2022 10:41:43;;32;Fehler;;1;27.434;45.838;;4.681;0.248
;06.05.2022 10:42:05;;33;Fehler;;1;27.363;45.763;;4.696;0.274
;06.05.2022 10:43:06;;34;Fehler;;1;27.448;45.896;;4.678;0.266
;06.05.2022 10:43:24;;35;Fehler;;1;27.447;45.793;;4.679;0.295
;06.05.2022 10:43:48;;36;Fehler;;1;27.432;45.896;;4.683;0.307
;06.05.2022 10:44:27;;37;Fehler;;1;27.378;45.878;;4.697;0.296
;06.05.2022 10:44:59;;38;Fehler;;1;27.473;45.904;;4.687;0.257
;06.05.2022 10:45:36;;39;Fehler;;1;27.437;45.914;;4.688;0.29
;06.05.2022 10:46:15;;40;Fehler;;1;27.458;45.91;;4.691;0.304
;06.05.2022 10:46:48;;41;Fehler;;1;27.394;45.881;;4.701;0.244
;06.05.2022 10:47:25;;42;Fehler;;1;27.456;45.901;;4.691;0.261
;06.05.2022 10:48:00;;43;Fehler;;1;27.463;45.881;;4.688;0.279
;06.05.2022 10:48:35;;44;Fehler;;1;27.508;45.919;;4.699;0.272
;06.05.2022 10:49:10;;45;Fehler;;1;27.449;45.88;;4.69;0.286
;06.05.2022 10:50:06;;46;Fehler;;1;27.519;45.921;;4.699;0.264
;06.05.2022 10:50:40;;47;Fehler;;1;27.435;45.874;;4.689;0.285
;06.05.2022 10:51:15;;48;Fehler;;1;27.387;45.869;;4.697;0.269
;06.05.2022 10:51:52;;49;Fehler;;1;27.466;45.874;;4.689;0.288
;06.05.2022 10:52:25;;50;Fehler;;1;27.341;45.901;;4.696;0.258
;06.05.2022 10:53:01;;51;Fehler;;1;27.458;45.875;;4.689;0.321
;06.05.2022 10:53:35;;52;Fehler;;1;27.472;45.919;;4.689;0.293
;06.05.2022 10:54:11;;53;Fehler;;1;27.368;45.91;;4.709;0.296
;06.05.2022 10:54:52;;54;Fehler;;1;27.437;45.894;;4.693;0.289
;06.05.2022 10:55:24;;55;Fehler;;1;27.438;45.886;;4.702;0.271
;06.05.2022 10:56:00;;56;Fehler;;1;27.475;45.906;;4.694;0.559
;06.05.2022 10:56:40;;57;Fehler;;1;27.429;45.857;;4.705;0.424
;06.05.2022 10:57:21;;58;Fehler;;1;27.94;45.894;;4.694;0.331
;06.05.2022 10:58:24;;59;Fehler;;1;27.575;45.822;;4.702;0.375
;06.05.2022 10:59:00;;60;Fehler;;1;29.86;45.942;;4.678;0.28
;06.05.2022 10:59:22;;61;Fehler;;1;31.933;45.785;;4.682;0.364
;06.05.2022 10:59:37;;62;Fehler;;1;27.483;45.903;;4.666;0.271
;06.05.2022 10:59:56;;63;Fehler;;1;26.434;45.896;;4.663;0.247
;06.05.2022 11:00:16;;64;Fehler;;1;27.791;45.918;;4.678;0.262
;06.05.2022 11:00:43;;65;Fehler;;1;27.376;45.918;;4.689;0.254
;06.05.2022 11:01:18;;66;Fehler;;1;27.468;45.914;;4.691;0.285
