Zyklusnummer;Charge;Düsentemperatur;Werkzeugtemperatur;Einspritzgeschwindigkeit;Umschaltpunkt;Nachdruckhöhe;Nachdruckzeit;Staudruck;Kühlzeit;Gewicht;OK/N.i.O.;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen;Datum;Messzeit
1;4;250;40;48;14;500;3;75;15;8,011;---;27,692;46,011;5,337;4,795;0,183;05.10.2021;10:33:00
2;4;250;40;48;14;500;3;75;15;7,988;---;27,547;46,004;5,237;4,748;0,222;05.10.2021;10:34:00
3;4;250;40;48;14;500;3;75;15;7,984;---;27,518;45,996;5,223;4,752;0,307;05.10.2021;10:34:00
4;4;250;40;48;14;500;3;75;15;7,983;---;27,484;46,033;5,212;4,741;0,21;05.10.2021;10:35:00
5;4;250;40;48;14;500;3;75;15;7,975;---;27,476;46,022;5,191;4,762;0,156;05.10.2021;10:35:00
6;4;250;40;48;14;500;3;75;15;7,977;---;27,462;46,006;5,185;4,764;0,192;05.10.2021;10:36:00
7;4;250;40;48;14;500;3;75;15;7,974;---;27,456;45,915;5,177;4,764;0,656;05.10.2021;10:36:00
8;4;250;40;48;14;500;3;75;15;7,974;---;27,449;46,001;5,184;4,767;0,381;05.10.2021;10:37:00
9;4;250;40;48;14;500;3;75;15;7,974;---;27,445;45,929;5,18;4,767;0,444;05.10.2021;10:37:00
10;4;250;40;48;14;500;3;75;15;7,973;---;27,443;45,944;5,181;4,766;0,359;05.10.2021;10:38:00
11;1;250;40;16;14;600;3;25;15;7,991;---;27,351;45,999;5,11;4,732;0,254;05.10.2021;10:39:00
12;1;250;40;16;14;600;3;25;15;7,98;---;27,309;45,905;5,074;4,712;0,392;05.10.2021;10:40:00
13;1;250;40;16;14;600;3;25;15;7,979;---;27,293;45,942;5,067;4,708;0,377;05.10.2021;10:41:00
14;1;250;40;16;14;600;3;25;15;7,979;---;27,307;45,984;5,065;4,71;0,129;05.10.2021;10:41:00
15;1;250;40;16;14;600;3;25;15;7,981;---;27,313;46;5,072;4,704;0,206;05.10.2021;10:42:00
16;1;250;40;16;14;600;3;25;15;7,978;---;27,279;45,748;5,069;4,716;0,366;05.10.2021;10:43:00
17;1;250;40;16;14;600;3;25;15;7,99;---;27,208;45,989;5,077;4,675;0,301;05.10.2021;10:44:00
18;1;250;40;16;14;600;3;25;15;7,982;---;27,294;45,975;5,081;4,692;0,28;05.10.2021;10:44:00
19;1;250;40;16;14;600;3;25;15;7,978;---;27,289;45,984;5,075;4,695;0,232;05.10.2021;10:45:00
20;1;250;40;16;14;600;3;25;15;7,976;---;27,292;45,989;5,068;4,698;0,168;05.10.2021;10:45:00
21;2;250;40;48;13;600;5;25;15;8,008;---;27,837;46,032;5,35;4,701;0,301;05.10.2021;10:46:00
22;2;250;40;48;13;600;5;25;15;8,001;---;27,79;45,949;5,214;4,776;0,466;05.10.2021;10:47:00
23;2;250;40;48;13;600;5;25;15;7,995;---;27,765;46,039;5,4;4,805;0,179;05.10.2021;10:48:00
24;2;250;40;48;13;600;5;25;15;7,997;---;27,748;46,028;5,396;4,788;0,269;05.10.2021;10:48:00
25;2;250;40;48;13;600;5;25;15;7,995;---;27,709;46,043;5,371;4,795;0,161;05.10.2021;10:49:00
26;2;250;40;48;13;600;5;25;15;7,996;---;27,687;46,023;5,367;4,794;0,273;05.10.2021;10:49:00
27;2;250;40;48;13;600;5;25;15;7,992;---;27,678;46,025;5,35;4,793;0,275;05.10.2021;10:50:00
28;2;250;40;48;13;600;5;25;15;7,993;---;27,676;46,032;5,345;4,796;0,181;05.10.2021;10:51:00
29;2;250;40;48;13;600;5;25;15;7,995;---;27,658;46,035;5,331;4,795;0,265;05.10.2021;10:51:00
30;2;250;40;48;13;600;5;25;15;7,998;---;27,657;45,991;5,336;4,798;0,295;05.10.2021;10:52:00
31;3;250;40;16;13;600;5;75;20;8,012;---;27,505;46,04;5,191;4,673;0,147;05.10.2021;10:53:00
32;3;250;40;16;13;600;5;75;20;8,011;---;27,566;46,024;5,273;4,84;0,321;05.10.2021;10:54:00
33;3;250;40;16;13;600;5;75;20;8,011;---;27,592;46,043;5,289;4,869;0,258;05.10.2021;10:54:00
34;3;250;40;16;13;600;5;75;20;8,013;---;27,564;46,045;5,286;4,87;0,21;05.10.2021;10:55:00
35;3;250;40;16;13;600;5;75;20;8,011;---;27,57;45,929;5,273;4,877;0,441;05.10.2021;10:56:00
36;3;250;40;16;13;600;5;75;20;8,011;---;27,559;46,017;5,259;4,871;0,299;05.10.2021;10:56:00
37;3;250;40;16;13;600;5;75;20;8,009;---;27,534;46,031;5,244;4,859;0,167;05.10.2021;10:57:00
38;3;250;40;16;13;600;5;75;20;8,013;---;27,557;46,026;5,267;4,882;0,281;05.10.2021;10:58:00
39;3;250;40;16;13;600;5;75;20;8,012;---;27,556;46,011;5,27;4,88;0,334;05.10.2021;10:58:00
40;3;250;40;16;13;600;5;75;20;8,013;---;27,532;46,024;5,257;4,861;0,221;05.10.2021;10:59:00
41;5;250;40;16;14;500;5;25;20;7,991;---;27,183;45,952;5,086;4,674;0,073;05.10.2021;11:00:00
42;5;250;40;16;14;500;5;25;20;7,985;---;27,316;45,908;5,061;4,705;0,622;05.10.2021;11:01:00
43;5;250;40;16;14;500;5;25;20;7,98;---;27,262;45,931;5,081;4,698;0,456;05.10.2021;11:02:00
44;5;250;40;16;14;500;5;25;20;7,98;---;27,292;46,002;5,089;4,708;0,342;05.10.2021;11:03:00
45;5;250;40;16;14;500;5;25;20;7,979;---;27,264;45,958;5,088;4,706;0,337;05.10.2021;11:03:00
46;5;250;40;16;14;500;5;25;20;7,981;---;27,271;45,998;5,082;4,709;0,25;05.10.2021;11:04:00
47;5;250;40;16;14;500;5;25;20;7,98;---;27,259;45,946;5,073;4,707;0,355;05.10.2021;11:05:00
48;5;250;40;16;14;500;5;25;20;7,98;---;27,261;45,98;5,067;4,711;0,237;05.10.2021;11:05:00
49;5;250;40;16;14;500;5;25;20;7,98;---;27,255;45,997;5,064;4,705;0,209;05.10.2021;11:06:00
50;5;250;40;16;14;500;5;25;20;8,002;---;27,257;45,992;5,064;4,712;0,306;05.10.2021;11:07:00
51;6;250;40;48;13;500;3;75;15;8,008;---;27,703;46,027;5,342;4,376;0,188;05.10.2021;11:08:00
52;6;250;40;48;13;500;3;75;15;8,004;---;27,808;46,042;5,38;4,738;0,185;05.10.2021;11:08:00
53;6;250;40;48;13;500;3;75;15;8,003;---;27,87;46,037;5,387;4,888;0,178;05.10.2021;11:09:00
54;6;250;40;48;13;500;3;75;15;8,002;---;27,815;46,042;5,333;4,815;0,167;05.10.2021;11:10:00
55;6;250;40;48;13;500;3;75;15;8;---;27,767;46,035;5,361;4,83;0,159;05.10.2021;11:10:00
56;6;250;40;48;13;500;3;75;15;7,999;---;27,738;46,025;5,367;4,817;0,283;05.10.2021;11:11:00
57;6;250;40;48;13;500;3;75;15;7,999;---;27,725;46,01;5,376;4,823;0,377;05.10.2021;11:11:00
58;6;250;40;48;13;500;3;75;15;7,998;---;27,739;46,045;5,389;4,826;0,214;05.10.2021;11:12:00
59;6;250;40;48;13;500;3;75;15;8;---;27,723;46,036;5,379;4,814;0,311;05.10.2021;11:12:00
60;6;250;40;48;13;500;3;75;15;8,009;---;27,713;46,044;5,376;4,814;0,215;05.10.2021;11:13:00
61;7;250;40;16;13;500;3;25;20;8,007;---;27,586;46,033;5,249;4,637;0,204;05.10.2021;11:14:00
62;7;250;40;16;13;500;3;25;20;8,009;---;27,596;46;5,267;4,814;0,376;05.10.2021;11:15:00
63;7;250;40;16;13;500;3;25;20;8,008;---;27,558;45,919;5,258;4,822;0,669;05.10.2021;11:15:00
64;7;250;40;16;13;500;3;25;20;8,003;---;27,506;46,017;5,237;4,813;0,309;05.10.2021;11:16:00
65;7;250;40;16;13;500;3;25;20;8,005;---;27,481;46,02;5,214;4,812;0,232;05.10.2021;11:17:00
66;7;250;40;16;13;500;3;25;20;8,006;---;27,463;46,008;5,21;4,814;0,268;05.10.2021;11:17:00
67;7;250;40;16;13;500;3;25;20;8,006;---;27,475;45,98;5,219;4,824;0,259;05.10.2021;11:18:00
68;7;250;40;16;13;500;3;25;20;8,005;---;27,471;46,024;5,229;4,818;0,208;05.10.2021;11:18:00
69;7;250;40;16;13;500;3;25;20;8,005;---;27,479;46,003;5,229;4,821;0,255;05.10.2021;11:19:00
70;7;250;40;16;13;500;3;25;20;7,994;---;27,463;46,02;5,217;4,813;0,176;05.10.2021;11:20:00
71;8;250;40;16;14;600;5;25;20;7,989;---;27,172;46,003;5,068;4,663;0,336;05.10.2021;11:21:00
72;8;250;40;16;14;600;5;25;20;7,991;---;27,247;46,013;5,08;4,684;0,236;05.10.2021;11:22:00
73;8;250;40;16;14;600;5;25;20;7,989;---;27,279;46,003;5,09;4,69;0,247;05.10.2021;11:22:00
74;8;250;40;16;14;600;5;25;20;7,989;---;27,272;46,019;5,091;4,691;0,181;05.10.2021;11:23:00
75;8;250;40;16;14;600;5;25;20;7,989;---;27,287;46,015;5,101;4,698;0,199;05.10.2021;11:24:00
76;8;250;40;16;14;600;5;25;20;7,986;---;27,272;46,009;5,084;4,699;0,291;05.10.2021;11:24:00
77;8;250;40;16;14;600;5;25;20;7,991;---;27,268;45,902;5,08;4,7;0,472;05.10.2021;11:25:00
78;8;250;40;16;14;600;5;25;20;7,99;---;27,268;46,008;5,074;4,702;0,245;05.10.2021;11:26:00
79;8;250;40;16;14;600;5;25;20;7,989;---;27,276;45,926;5,076;4,702;0,455;05.10.2021;11:26:00
80;8;250;40;16;14;600;5;25;20;7,991;---;27,27;45,898;5,073;4,701;0,46;05.10.2021;11:27:00
81;8;250;40;16;14;600;5;25;20;7,983;---;27,264;46,004;5,071;4,703;0,185;05.10.2021;11:28:00
82;9;250;40;16;14;500;3;25;20;7,979;---;27,236;46,003;5,078;4,681;0,138;05.10.2021;11:29:00
83;9;250;40;16;14;500;3;25;20;7,976;---;27,262;46,011;5,076;4,687;0,142;05.10.2021;11:29:00
84;9;250;40;16;14;500;3;25;20;7,975;---;27,273;46,008;5,075;4,686;0,153;05.10.2021;11:30:00
85;9;250;40;16;14;500;3;25;20;7,975;---;27,267;45,984;5,078;4,688;0,141;05.10.2021;11:31:00
86;9;250;40;16;14;500;3;25;20;7,974;---;27,268;46,01;5,075;4,688;0,183;05.10.2021;11:31:00
