Charge;Nummer;Mittenrauwert;Quadratischer Mittelwert;Rautiefe;Höhe;Breite;E-Modul;Zugfestigkeit;Dehnung bei Zugfestigkeit;Maximalspannung;Bruchspannung;Maximalkraft;Dehnung bei Maximalspannung;Bruchdehnung;Anfangsfläche;Angaben zum Bruch
-;-;Ra;Rq;Rz;h;b;Et;sY;eY;sM;sB;FM;eM;eB;A0;-
-;-;-;-;-;mm;mm;MPa;MPa;%;MPa;MPa;N;%;%;mm²;-
1;1;0.119;0.145;0.686;4.05;9.6;2390.0104;65.944185;4.05245066;65.944185;41.7124305;2563.90991;4.05245066;64.6136134;38.88;break
1;2;0.097;0.124;0.624;3.98;9.59;2397.77702;67.1797882;4.04710627;67.1797882;43.212709;2564.13159;4.04710627;44.3154026;38.1682;break
1;3;0.106;0.132;0.731;4.02;9.56;2409.36168;66.7453973;4.06245995;66.7453973;46.5837213;2565.10571;4.06245995;49.3476878;38.4312;break
1;4;0.099;0.122;0.645;3.98;9.59;2450.53168;67.5467264;4.0186882;67.5467264;43.5237199;2578.13696;4.0186882;55.0768323;38.1682;break
1;5;0.199;0.258;1.802;4;9.52;2460.59988;68.2352851;4.06131983;68.2352851;43.0363855;2598.39966;4.06131983;40.1929901;38.08;break
1;6;0.109;0.136;0.712;4;9.51;2396.39637;68.6397067;4.07549;68.6397067;40.408967;2611.05444;4.07549;48.9371178;38.04;break
1;7;0.125;0.154;0.775;4.01;9.6;2402.62617;67.5828384;4.06669235;67.5828384;44.1415934;2601.66895;4.06669235;57.900907;38.496;break
1;8;0.121;0.156;0.800;4.01;9.61;2383.30482;67.5278571;4.0481596;67.5278571;42.9530281;2602.26025;4.0481596;62.6340678;38.5361;break
1;9;0.800;0.097;0.448;4.03;9.61;2368.94429;67.1647922;4.05508995;67.1647922;40.5490873;2601.17822;4.05508995;34.7269564;38.7283;break
1;10;0.116;0.161;1.032;3.99;9.61;2417.15551;67.9928957;4.04169893;67.9928957;42.0836526;2607.11279;4.04169893;40.0829982;38.3439;break
2;11;0.103;0.127;0.683;4.04;9.57;2353.22194;64.6913236;3.97394347;64.6913236;57.0924949;2501.14771;3.97394347;10.0585043;38.6628;break
2;12;0.377;0.580;2.568;4.03;9.67;2348.45142;65.7944829;4.071558;65.7944829;40.7540982;2564.01758;4.071558;42.5245289;38.9701;break
2;13;0.137;0.170;0.633;4.03;9.62;2364.63205;66.3878793;4.06689119;66.3878793;41.9613606;2573.76514;4.06689119;44.6462939;38.7686;break
2;14;1.056;1.288;3.927;4;9.53;2360.80481;67.7305976;4.06718111;67.7305976;46.8359132;2581.89038;4.06718111;80.2298453;38.12;break
2;15;0.111;0.150;1.062;4.01;9.51;2380.33145;67.6083252;4.06599951;67.6083252;42.878875;2578.25024;4.06599951;48.9619554;38.1351;break
2;16;0.124;0.163;0.980;4;9.49;2426.87578;68.4442968;4.05389214;68.4442968;41.752893;2598.14551;4.05389214;41.6184146;37.96;break
2;17;0.972;1.279;3.392;4.03;9.61;2374.19437;66.8567568;4.0685277;66.8567568;33.3854455;2589.24854;4.0685277;26.9322461;38.7283;break
2;18;0.159;0.203;0.988;4.01;9.53;2403.86625;67.8336095;4.07114601;67.8336095;45.1895063;2592.28174;4.07114601;83.2077895;38.2153;break
2;19;0.073;0.092;0.547;4.03;9.57;2416.99922;62.1816147;3.33049226;62.1816147;18.6462639;2398.16455;3.33049226;3.03970554;38.5671;break
2;20;0.086;0.134;0.830;4.03;9.63;2354.4102;66.2535159;4.07973003;66.2535159;58.1528753;2571.22607;4.07973003;7.50453521;38.8089;break
3;21;0.153;0.204;0.910;4.01;9.64;2405.76709;65.3655949;4.07233429;65.3655949;42.1491992;2526.79858;4.07233429;39.8807362;38.6564;break
3;22;0.127;0.177;0.789;4.03;9.66;2369.99695;;;54.4585146;52.3770436;2120.05908;2.49515128;2.49971366;38.9298;break
3;23;0.107;0.137;0.769;4.03;9.65;2410.66409;65.5025791;3.96980357;65.5025791;46.9525591;2547.36255;3.96980357;11.0166119;38.8895;break
3;24;0.099;0.128;0.801;4.02;9.62;2401.4816;65.1688628;3.96272159;65.1688628;43.5395352;2520.23633;3.96272159;11.6211419;38.6724;break
3;25;0.193;0.253;1.088;4.01;9.59;2381.73646;65.7142934;3.76411057;65.7142934;37.3416139;2527.10229;3.76411057;5.64684433;38.4559;break
3;26;0.176;0.219;1.070;4.03;9.63;2405.24058;65.76105;3.95940995;65.76105;58.520468;2552.11401;3.95940995;6.54162098;38.8089;break
3;27;0.246;0.318;1.501;4.03;9.63;2325.1797;63.4826143;3.33068132;63.4826143;37.6629671;2463.69043;3.33068132;5.99344756;38.8089;break
3;28;0.137;0.170;0.909;4.01;9.64;2424.82722;66.3377579;4.06356525;66.3377579;63.4274583;2564.37891;4.06356525;6.00215994;38.6564;break
3;29;0.143;0.186;0.940;4.03;9.61;2410.53426;;;64.9107137;64.2656952;2513.88159;3.46473789;3.46926212;38.7283;break
3;30;0.161;0.222;0.135;4.03;9.63;2438.76826;65.4028558;3.97395205;65.4028558;36.0844756;2538.21289;3.97395205;7.06497747;38.8089;break
4;31;0.791;0.984;3.165;4.03;9.57;2430.09929305422;63.4962306866636;3.34989166259766;63.4962306866636;36.7844276902301;2448.86547851562;3.34989166259766;3.31694375967499;38.5671;break
4;32;0.084;0.107;0.721;4.02;9.63;2405.725923488;66.2846280789394;4.05818843841553;66.2846280789394;43.1485473994174;2566.05029296875;4.05818843841553;64.7423632610735;38.7126;break
4;33;0.681;0.920;1.377;4.04;9.57;2425.47365761123;66.5537176865585;4.07435703277588;66.5537176865585;41.8421611321962;2573.15307617187;4.07435703277588;45.2931548451358;38.6628;break
4;34;0.263;0.382;1.111;4.04;9.63;2403.888017231;66.2068445180528;4.08561086654663;66.2068445180528;39.3566030677615;2575.79052734375;4.08561086654663;16.3420450196171;38.9052;break
4;35;0.125;0.153;0.666;4.05;9.63;2315.90098483361;65.8875399824366;4.07087135314941;65.8875399824366;54.4951809245317;2569.712890625;4.07087135314941;14.1924770694872;39.0015;break
4;37;0.050;0.082;0.326;4.03;9.63;2387.34065030825;66.7605136865352;4.05335092544556;66.7605136865352;43.1647449304476;2590.90209960937;4.05335092544556;59.4311764985543;38.8089;break
4;38;0.123;0.159;0.830;4.02;9.62;2336.03566897734;66.3747491650214;4.05673933029175;66.3747491650214;43.1923460806754;2566.87084960937;4.05673933029175;61.6849785593278;38.6724;break
4;39;0.150;0.192;0.743;4.01;9.6;2378.32977766254;67.0911768329015;4.05267190933228;67.0911768329015;40.4815832377471;2582.74194335937;4.05267190933228;13.8851512162887;38.496;break
4;40;0.119;0.151;0.795;4.03;9.58;2394.86839553128;67.1904311495335;4.0766749382019;67.1904311495335;35.2343372603115;2594.0478515625;4.0766749382019;25.7869875884504;38.6074;break
4;41;0.123;0.159;0.908;4;9.63;2367.73370608998;67.6853643399533;4.09172868728638;67.6853643399533;36.0009119146709;2607.240234375;4.09172868728638;22.6771070079307;38.52;break
4;42;0.257;0.383;1.692;3.99;9.59;2458.12736424142;67.8479788026669;4.05189085006714;67.8479788026669;44.0257630826774;2596.14184570313;4.05189085006714;62.5738182785798;38.2641;break
5;46;0.508;0.687;2.209;4.03;9.63;2406.50964;66.7201454;4.01701498;66.7201454;44.2874022;2589.33545;4.01701498;61.0034717;38.8089;break
5;47;0.122;0.161;0.751;4.02;9.62;2428.7486;67.2799452;4.04183054;67.2799452;39.1473316;2601.87695;4.04183054;49.3089304;38.6724;break
5;48;0.121;0.154;0.904;3.99;9.54;2459.67777;68.0488228;4.06520271;68.0488228;44.2369214;2590.25122;4.06520271;58.6173909;38.0646;break
5;49;0.112;0.145;0.886;4.01;9.62;2435.1539;67.4567062;4.07971573;67.4567062;37.9575473;2602.22339;4.07971573;21.0739686;38.5762;break
5;50;0.027;0.035;0.177;4.03;9.6;2430.91905;67.6270604;4.09080219;67.6270604;41.6241055;2616.35571;4.09080219;38.9551524;38.688;break
5;51;0.134;0.174;1.049;4.03;9.63;2414.42697;67.1639076;4.02350473;67.1639076;40.8761589;2606.55737;4.02350473;32.6362768;38.8089;break
5;52;0.124;0.160;0.850;4.02;9.62;2394.39023;67.3551715;4.10114384;67.3551715;42.8079195;2604.78613;4.10114384;42.215122;38.6724;break
5;53;0.134;0.175;0.926;4.01;9.6;2409.71841;67.4326097;4.10126781;67.4326097;44.2379502;2595.88574;4.10126781;62.8138025;38.496;break
5;55;0.129;0.171;1.072;4.02;9.65;2469.8903;67.224898;4.04210567;67.224898;41.6012749;2607.85547;4.04210567;52.3867005;38.793;break
6;56;0.769;1.050;3.761;4.02;9.62;2418.55785;67.479671;4.13264465;67.479671;42.4861372;2609.60083;4.13264465;43.342477;38.6724;break
6;58;0.604;0.878;3.343;4.03;9.64;2328.85906;67.0303554;4.08196592;67.0303554;41.375835;2604.07568;4.08196592;52.6441564;38.8492;break
6;59;0.102;0.147;0.854;4.03;9.63;2359.21229;;;66.5946053;66.0324809;2584.46338;3.79047871;3.79565907;38.8089;break
6;61;0.905;1.134;3.471;4.03;9.65;2437.81986;67.0031812;4.09369135;67.0031812;42.0886805;2605.72021;4.09369135;50.6848037;38.8895;break
6;62;0.085;0.107;0.594;4.02;9.65;2467.02351;67.3083676;4.10257483;67.3083676;63.621223;2611.09351;4.10257483;7.04120531;38.793;break
6;63;0.685;0.910;3.303;4.01;9.63;2410.51052;67.2233611;4.09148693;67.2233611;42.4759408;2595.91748;4.09148693;49.406034;38.6163;break
6;64;0.608;0.844;3.197;4.02;9.64;2445.19343;67.1827337;4.07472086;67.1827337;43.3937836;2603.51904;4.07472086;50.4618787;38.7528;break
6;65;0.137;0.177;1.064;4.02;9.64;2375.23336;66.8766192;4.06616068;66.8766192;43.1777961;2591.65625;4.06616068;51.3293953;38.7528;break
6;66;0.109;0.147;0.871;4.03;9.63;2402.37247;66.611188;4.10708094;66.611188;41.7679989;2585.10693;4.10708094;67.937144;38.8089;break
6;67;0.135;0.173;0.921;4.02;9.63;2402.83003;66.342118;4.07998133;66.342118;41.9147583;2568.27588;4.07998133;51.2122407;38.7126;break
6;68;0.154;0.195;1.115;4.04;9.63;2380.08012;66.4818833;4.04007578;66.4818833;42.3196788;2586.49097;4.04007578;44.9680755;38.9052;break
7;69;0.525;0.724;2.546;4.02;9.63;2391.52225;67.1905491;4.12713242;67.1905491;41.8624523;2601.12085;4.12713242;42.4237107;38.7126;break
7;70;0.075;0.103;0.655;4;9.62;2422.98562;;;41.3469501;41.2851282;1591.03064;1.70790446;1.71219981;38.48;break
7;71;0.160;0.211;1.268;4.03;9.63;2415.33832;;;64.9710021;61.7622202;2521.45313;3.3291254;3.33830357;38.8089;break
7;72;0.163;0.221;1.385;4.02;9.63;2410.60156;67.092275;4.09990597;67.092275;43.1291455;2597.31641;4.09990597;55.1504807;38.7126;break
7;73;0.527;0.838;3.906;4.03;9.64;2407.13785;66.0741654;4.09524155;66.0741654;41.2268496;2566.92847;4.09524155;31.7088628;38.8492;break
